filepath,source_class,target_class,split,variant
data/raw/garbage_v2/standardized_256/glass/glass_10.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_100.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1000.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1002.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1003.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1004.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1006.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_101.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1010.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1012.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1013.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1015.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1016.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1017.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_102.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1022.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1023.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1024.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1025.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1026.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1027.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1028.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_103.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1031.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1032.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1033.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1034.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1035.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1036.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1037.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1038.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1039.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_104.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1040.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1042.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1045.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1046.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1047.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1048.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1049.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_105.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1050.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1052.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1053.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1054.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1056.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1057.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1059.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_106.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1060.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1061.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1062.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1063.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1065.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1066.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1067.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1069.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_107.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1070.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1072.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1074.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1076.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1077.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1078.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_108.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1080.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1081.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1086.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1087.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1089.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_109.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1090.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1093.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1094.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1095.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1097.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_11.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_110.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1100.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1102.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1103.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1104.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1105.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1106.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1107.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1108.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1109.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_111.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1110.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1111.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1113.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1115.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1116.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1117.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1118.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_112.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1120.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1122.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1124.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1125.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1126.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1127.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1129.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_113.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1134.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1137.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1138.jpg,glass,metal_glass,train,standardized_256
data/raw/garbage_v2/standardized_256/glass/glass_1139.jpg,glass,metal_glass,train,standardized_256
